product_name,sale_price,original_price,discount_percentage,discount_value,image_url,total_colours,absolute_url
Skyrocket Lite Women's Running Shoes,3499,4999,-30%,1500,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312785/02/sv01/fnd/IND/fmt/png/Skyrocket-Lite-Women's-Running-Shoes",2,https://in.puma.com/in/en/pd/skyrocket-lite-womens-running-shoes/312785?swatch=02
Galaxis Pro Women's Performance Boost Running Shoes,4899,6999,-30%,2100,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311839/03/sv01/fnd/IND/fmt/png/Galaxis-Pro-Women's-Performance-Boost-Running-Shoes",3,https://in.puma.com/in/en/pd/galaxis-pro-womens-performance-boost-running-shoes/311839?swatch=03
Galaxis Pro Women's Performance Boost Running Shoes,4409,6999,-37%,2590,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311839/02/sv01/fnd/IND/fmt/png/Galaxis-Pro-Women's-Performance-Boost-Running-Shoes",3,https://in.puma.com/in/en/pd/galaxis-pro-womens-performance-boost-running-shoes/311839?swatch=02
Mayze Leather Women's Sneakers,3760,7999,-52%,4239,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/381983/01/sv01/fnd/IND/fmt/png/Mayze-Leather-Women's-Sneakers",2,https://in.puma.com/in/en/pd/mayze-leather-womens-sneakers/381983?swatch=01
Carina Slim Perf Women's Sneakers,3599,4499,-20%,900,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/395829/02/sv01/fnd/IND/fmt/png/Carina-Slim-Perf-Women's-Sneakers",2,https://in.puma.com/in/en/pd/carina-slim-perf-womens-sneakers/395829?swatch=02
Carina Slim Perf Women's Sneakers,3599,4499,-20%,900,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/395829/01/sv01/fnd/IND/fmt/png/Carina-Slim-Perf-Women's-Sneakers",2,https://in.puma.com/in/en/pd/carina-slim-perf-womens-sneakers/395829?swatch=01
Mayze Classic Women's Sneakers,4159,7999,-48%,3840,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/384209/02/sv01/fnd/IND/fmt/png/Mayze-Classic-Women's-Sneakers",,https://in.puma.com/in/en/pd/mayze-classic-womens-sneakers/384209?swatch=02
X-Ray 2 Square Women’s Superior Comfort Sneakers,4239,7999,-47%,3760,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/404686/01/sv01/fnd/IND/fmt/png/X-Ray-2-Square-Women’s-Superior-Comfort-Sneakers",2,https://in.puma.com/in/en/pd/x-ray-2-square-womens-superior-comfort-sneakers/404686?swatch=01
PUMA QuickBlaze Women's Lightweight Running Shoes,4399,5499,-20%,1100,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312507/01/sv01/fnd/IND/fmt/png/PUMA-QuickBlaze-Women's-Lightweight-Running-Shoes",,https://in.puma.com/in/en/pd/puma-quickblaze-womens-lightweight-running-shoes/312507?swatch=01
Galaxis Pro Women's Performance Boost Running Shoes,4409,6999,-37%,2590,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311839/01/sv01/fnd/IND/fmt/png/Galaxis-Pro-Women's-Performance-Boost-Running-Shoes",3,https://in.puma.com/in/en/pd/galaxis-pro-womens-performance-boost-running-shoes/311839?swatch=01
